expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template,server,presentation_order,age
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu9_kasap_azarladi_balikci_2d_01_29,9186,['kasap'],choice-response,kasap,613a95f576739980a84d5f0b,ovsu9_kasap_azarladi_balikci_2d_01,11338,95,OVSU9_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu9_editor_gazeteci_gosterdi_2c_01_17,6938,['gazeteci'],choice-response,gazeteci,613a95f576739980a84d5f0b,sovu9_editor_gazeteci_gosterdi_2c_01,9413,96,SOVU9_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm2_isadamini_kucumsedi_sporcu_2b_01_02,4561,['sporcu'],choice-response,sporcu,613a95f576739980a84d5f0b,ovsm2_isadamini_kucumsedi_sporcu_2b_01,7005,97,OVSM2_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm6_kardesi_cekistirdi_abla_2b_01_38,2776,['abla'],choice-response,abla,613a95f576739980a84d5f0b,ovsm6_kardesi_cekistirdi_abla_2b_01,5078,98,OVSM6_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm8_zebra_aslani_farketti_2c_01_11,4430,['aslan'],choice-response,aslan,613a95f576739980a84d5f0b,sovm8_zebra_aslani_farketti_2c_01,6773,99,SOVM8_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu4_fare_gordu_kedi_2a_01_21,2995,['fare'],choice-response,fare,613a95f576739980a84d5f0b,ovsu4_fare_gordu_kedi_2a_01,4859,100,OVSU4_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,,,,,,,,613a95f576739980a84d5f0b,BreakStim,8796,101,BreakTrial,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_catch6_ovsm12a,2907,['mufettis'],choice-response,mufettis,613a95f576739980a84d5f0b,ovsm1_komutani_suzdu_mufettis_2a_01,5196,102,catch6_ovsm12a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu4_kuzu_itti_koyun_2c_01_07,3813,['kuzu'],choice-response,kuzu,613a95f576739980a84d5f0b,ovsu4_kuzu_itti_koyun_2c_01,5591,103,OVSU4_2c,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm1_zurafa_fili_kizdirdi_2b_01_16,3919,['zurafa'],choice-response,zurafa,613a95f576739980a84d5f0b,sovm1_zurafa_fili_kizdirdi_2b_01,6107,104,SOVM1_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsu9_kadin_etkiledi_delikanli_2b_01_15,5083,['kadin'],choice-response,kadin,613a95f576739980a84d5f0b,ovsu9_kadin_etkiledi_delikanli_2b_01,7360,105,OVSU9_2b,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm6_temizlikciyi_gozetledi_usak_2d_01_18,7106,['usak'],choice-response,usak,613a95f576739980a84d5f0b,ovsm6_temizlikciyi_gozetledi_usak_2d_01,9503,106,OVSM6_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovm1_tavsan_sincabi_kokladi_2a_01_24,2739,['tavsan'],choice-response,tavsan,613a95f576739980a84d5f0b,sovm1_tavsan_sincabi_kokladi_2a_01,4955,107,SOVM1_2a,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_ovsm4_yegeni_sevindirdi_dayi_2d_01_41,2384,['yegen'],choice-response,yegen,613a95f576739980a84d5f0b,ovsm4_yegeni_sevindirdi_dayi_2d_01,4519,108,OVSM4_2d,eu,backward,37
613a86a7a8b97c53954cefb2,default,0,38,1261.086651,TRUE,keypress,resp_sovu9_geyik_ormanci_korkuttu_2b_01_30,7037,['geyik'],choice-response,geyik,613a95f576739980a84d5f0b,sovu9_geyik_ormanci_korkuttu_2b_01,9274,109,SOVU9_2b,eu,backward,37
