,tier,sentence,label,interval,third,F0,F0sd,F0max,F0min,dB,dBsd,dBmax,duration,wo,case,propcontent,"propcontent_no,",quart,pno,grammatical_role,diffo3v1
57,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,isadami,1,3,223.7814915,3.763787595,231.6432498,220.3078301,59.00191299,0.416120481,57.78034968,0.411972789,ovs,m,isadaminikucumsedisporcu,2,2b,1,object,-53.1061762
58,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,kucumse,3,1,276.8876677,NA,279.1551229,275.785517,43.44171118,5.370511473,46.33469495,0.990408163,ovs,m,isadaminikucumsedisporcu,2,2b,1,verb,-53.1061762
59,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,kucumse,3,2,238.9724634,6.353224632,246.4781615,230.0722499,56.11832213,8.871189996,60.22214042,0.990408163,ovs,m,isadaminikucumsedisporcu,2,2b,1,verb,-53.1061762
60,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,kucumse,3,3,238.127164,16.25622967,263.616165,219.730612,56.11832213,6.777473519,59.00925282,0.990408163,ovs,m,isadaminikucumsedisporcu,2,2b,1,verb,-53.1061762
61,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,sporcu,5,1,217.4980194,16.32979866,234.4847495,198.0579228,47.30735243,4.943861264,52.8894879,1.68015873,ovs,m,isadaminikucumsedisporcu,2,2b,1,subject,-53.1061762
62,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,sporcu,5,2,193.6289854,12.33127136,217.4486679,182.3058092,53.48464433,7.471305929,56.27912461,1.68015873,ovs,m,isadaminikucumsedisporcu,2,2b,1,subject,-53.1061762
63,1,ovsm2_isadamini_kucumsedi_sporcu_2b_01,sporcu,5,3,189.0820651,7.144452063,193.9953335,180.8121881,53.48464433,6.821308605,51.98855926,1.68015873,ovs,m,isadaminikucumsedisporcu,2,2b,1,subject,-53.1061762
64,1,ovsm2_oglani_sevdi_kiz_2c_01,oglan,1,1,224.3723941,0.906997368,225.4160471,223.4943381,59.69803299,0.22884634,59.83258309,0.355442177,ovs,m,oglanisevdikiz,23,2c,1,object,-53.2201958
65,1,ovsm2_oglani_sevdi_kiz_2c_01,oglan,1,2,220.8427446,6.117734072,227.5350556,213.0854464,59.20972156,0.65421834,60.23167984,0.355442177,ovs,m,oglanisevdikiz,23,2c,1,object,-53.2201958
66,1,ovsm2_oglani_sevdi_kiz_2c_01,oglan,1,3,218.2950848,11.04216262,243.7359933,211.30072,59.20972156,0.339367099,59.17576121,0.355442177,ovs,m,oglanisevdikiz,23,2c,1,object,-53.2201958
67,1,ovsm2_oglani_sevdi_kiz_2c_01,sev,3,1,271.5152806,NA,272.3467772,268.7926547,49.1230221,4.35204773,53.70554282,0.68478458,ovs,m,oglanisevdikiz,23,2c,1,verb,-53.2201958
68,1,ovsm2_oglani_sevdi_kiz_2c_01,sev,3,2,245.3557477,24.24758252,271.2342833,219.7450453,57.14675987,2.860080512,58.8922988,0.68478458,ovs,m,oglanisevdikiz,23,2c,1,verb,-53.2201958
69,1,ovsm2_oglani_sevdi_kiz_2c_01,sev,3,3,220.3173561,10.18421348,229.3315703,201.79143,57.14675987,4.416096692,57.68437907,0.68478458,ovs,m,oglanisevdikiz,23,2c,1,verb,-53.2201958
70,1,ovsm2_oglani_sevdi_kiz_2c_01,kiz,5,1,216.8040513,17.69029158,230.7849886,199.177051,44.90974431,6.037468468,50.59025436,1.149614512,ovs,m,oglanisevdikiz,23,2c,1,subject,-53.2201958
71,1,ovsm2_oglani_sevdi_kiz_2c_01,kiz,5,2,185.1063516,7.480330725,199.177051,178.3899501,50.80700036,5.579219398,53.85145965,1.149614512,ovs,m,oglanisevdikiz,23,2c,1,subject,-53.2201958
72,1,ovsm2_oglani_sevdi_kiz_2c_01,kiz,5,3,NA,NA,NA,NA,50.80700036,1.449583589,42.35815668,1.149614512,ovs,m,oglanisevdikiz,23,2c,1,subject,-53.2201958
73,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,copcu,1,1,245.1638825,5.506121834,250.705477,237.0835118,64.09211778,1.894772067,65.20678205,0.359433107,ovs,m,copcuyusasirttibahcivan,10,2a,1,object,28.303844
74,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,copcu,1,2,235.9314388,NA,237.0835118,235.7199932,50.18127045,9.187254655,54.6581668,0.359433107,ovs,m,copcuyusasirttibahcivan,10,2a,1,object,28.303844
75,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,copcu,1,3,267.2341562,0.970196506,268.2797122,266.4096964,50.18127045,8.685887709,64.73695444,0.359433107,ovs,m,copcuyusasirttibahcivan,10,2a,1,object,28.303844
76,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,sasirt,3,1,238.9303122,18.07924802,258.1295756,222.8885103,56.099787,4.107732482,60.13820245,0.808253968,ovs,m,copcuyusasirttibahcivan,10,2a,1,verb,28.303844
77,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,sasirt,3,2,216.2340315,NA,222.8885103,212.8592261,53.50688947,3.583395028,59.53661127,0.808253968,ovs,m,copcuyusasirttibahcivan,10,2a,1,verb,28.303844
78,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,sasirt,3,3,193.0806337,13.29740035,206.7412695,180.1789792,53.50688947,10.08987061,53.24546474,0.808253968,ovs,m,copcuyusasirttibahcivan,10,2a,1,verb,28.303844
79,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,bahcivan,5,1,186.6002117,8.33093146,191.0559175,167.4452795,54.86432094,4.540367279,58.60530951,1.450861678,ovs,m,copcuyusasirttibahcivan,10,2a,1,subject,28.303844
80,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,bahcivan,5,2,197.366254,8.269325241,206.2510162,186.6890514,52.2711308,6.680359465,57.29471559,1.450861678,ovs,m,copcuyusasirttibahcivan,10,2a,1,subject,28.303844
81,1,ovsm3_copcuyu_sasirtti_bahcivan_2a_01,bahcivan,5,3,186.8668053,1.682936441,188.3205449,184.1606353,52.2711308,0.924367502,56.42276614,1.450861678,ovs,m,copcuyusasirttibahcivan,10,2a,1,subject,28.303844
82,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,gazeteci,1,1,237.5515213,10.7083846,254.5155446,225.4454217,59.6825019,2.603007586,62.58961121,0.476825397,ovs,m,gazeteciyigosterdieditor,17,2d,1,object,17.7354405
83,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,gazeteci,1,2,261.7101117,12.32956881,278.5043463,239.8337986,59.5068791,7.857235554,63.44210088,0.476825397,ovs,m,gazeteciyigosterdieditor,17,2d,1,object,17.7354405
84,1,ovsm3_gazeteciyi_gosterdi_editor_2d_01,gazeteci,1,3,239.8526393,19.10806034,266.0092659,210.7315874,59.5068791,3.978271355,62.40447306,0.476825397,ovs,m,gazeteciyigosterdieditor,17,2d,1,object,17.7354405
